RowId;ThresholdProfileName;ExpectedFound;ExpectedRank;ExpectedScore;BestNonMatchRank;BestNonMatchScore;ScoreDrop;CandidateCount
232;Passweb_1_N_Alder_7_13;True;1;883;2;634;249;15
233;Passweb_1_N_Alder_2_6;True;1;870;2;659;211;15
234;Passweb_1_N_Alder_7_13;True;1;873;2;648;225;15
235;Passweb_1_N_Alder_2_6;True;1;859;2;661;198;15
236;Passweb_1_N_Alder_14_15;True;1;849;2;683;166;15
237;Passweb_1_N_Alder_7_13;True;1;827;2;624;203;15
238;Passweb_1_N_Alder_18_70;True;1;904;2;582;322;15
239;Passweb_1_N_Alder_18_70;True;1;900;2;579;321;15
240;Passweb_1_N_Alder_18_70;True;1;930;2;525;405;15
241;Passweb_1_N_Alder_2_6;True;1;909;2;665;244;15
242;Passweb_1_N_Alder_18_70;True;1;890;2;499;391;15
243;Passweb_1_N_Alder_71_T;True;1;916;2;586;330;15
244;Passweb_1_N_Alder_16_17;True;1;961;2;617;344;15
245;Passweb_1_N_Alder_2_6;True;1;775;2;681;94;15
246;Passweb_1_N_Alder_7_13;True;1;859;2;570;289;15
247;Passweb_1_N_Alder_18_70;True;1;952;2;559;393;15
248;Passweb_1_N_Alder_18_70;True;1;934;2;512;422;15
249;Passweb_1_N_Alder_7_13;True;1;933;2;618;315;15
250;Passweb_1_N_Alder_18_70;True;1;832;2;603;229;15
251;Passweb_1_N_Alder_7_13;True;1;933;2;592;341;15
252;Passweb_1_N_Alder_18_70;True;1;858;2;498;360;15
253;Passweb_1_N_Alder_71_T;True;1;862;2;570;292;15
254;Passweb_1_N_Alder_18_70;True;1;854;2;512;342;15
255;Passweb_1_N_Alder_18_70;True;1;959;2;562;397;15
256;Passweb_1_N_Alder_18_70;True;1;818;2;512;306;15
257;Passweb_1_N_Alder_18_70;True;1;896;2;525;371;15
258;Passweb_1_N_Alder_18_70;True;1;896;2;539;357;15
259;Passweb_1_N_Alder_18_70;True;1;829;2;599;230;15
260;Passweb_1_N_Alder_18_70;True;1;781;2;503;278;15
